
    Name	   Value	Datatype	  Length

       a	        	 INTEGER	       1

       b	        	 INTEGER	       1

       c	        	 INTEGER	       1

       e	        	  STRING	       1

       f	        	   FLOAT	       1

       d	        	 INTEGER	       1

"hello world"	"hello world"	  STRING	      13

       2	       2	 INTEGER	       1

       1	       1	 INTEGER	       1

       5	       5	 INTEGER	       1

     1.2	     1.2	   FLOAT	       3

     1.1	     1.1	   FLOAT	       3

       3	       3	 INTEGER	       1

       4	       4	 INTEGER	       1

       6	       6	 INTEGER	       1

      10	      10	 INTEGER	       2
