
    Name	   Value	Datatype	  Length

       a	        	        	       1

       b	        	        	       1

       c	        	        	       1

       e	        	        	       1

       2	       2	        	       1

       q	        	        	       1

       p	        	        	       1

       5	       5	        	       1

       4	       4	        	       1

       r	        	        	       1

       d	        	        	       1

       9	       9	        	       1

       0	       0	        	       1

       1	       1	        	       1

       3	       3	        	       1

       8	       8	        	       1

      10	      10	        	       2

       w	        	        	       1

       z	        	        	       1

       6	       6	        	       1
